Title,Paragraph,Date
EXODUS: GLOBAL MIGRATION - ROHINGYA,"In the latest episode of ""Exodus: Global Migration,"" ABC News follows the journey of Rohingya Muslims from the world's largest refugee camps in Bangladesh to Malaysia as they search for safety.","January 26, 2024"
Exodus: Global Migration,ABC News features stories of migrants from all around the globe and why they chose to leave their home countries in pursuit of a better life elsewhere.,"January 26, 2024"
Title not found,Paragraph not found,Date not found
Cyclone forces evacuations in Myanmar and Bangladesh,Half a million people are being evacuated as the storm bears down on the two countries with winds of 135 miles an hour.,"May 13, 2023"
Major fire at refugee camp in Bangladesh,Thousands are once again homeless after a massive fire tore through a crowded refugee camp for Rohingya Muslims in Bangladesh.,"March 5, 2023"
Fire Erupts During Desperate Rescue In Bangladesh,Rescue efforts at rubble site now suspended due to massive fires ignited by torches.,"April 28, 2013"
More Than 100 Dead in Bangladesh Garment Factory Fire,Workers couldn't escape deadly blaze because of lack of fire exits.,"November 25, 2012"
Signs of Hope Emerge From Bangladesh Rubble,Nearly 30 survivors were pulled from debris as rescuers still hear voices of trapped victims.,"April 27, 2013"
US Embassy Worker Hacked to Death in Bangladesh,"The U.S. State Department said it was outraged by the murder of Xulhaz Mannan, an activist for the LGBT community.","April 25, 2016"
Bangladesh Garment Factory Fire Leaves 112 Dead,Lack of fire exits cause major death toll after fire Saturday evening.,"November 25, 2012"
Bangladesh Garment Fire: Survivors Describe What Happened,Brian Ross investigates the fire that killed more than 100 workers.,"November 28, 2012"
"The Rohingya, fleeing for their lives in Myanmar, head for Bangladesh","Myanmar's government forces are reportedly carrying out new attacks on the Rohingya, a Muslim minority considered one of the most persecuted groups in the world.","September 7, 2017"
Rohingya flee persecution in Myanmar,"More than 410,000 Rohingya have fled the country, in what the United Nations described as a ""textbook example of ethnic cleansing.""","September 20, 2017"
Fire Kills Over 100 Factory Workers in Bangladesh,"Clothing maker offers $1,200 per victim, promises investors blaze won't hurt bottom line.","November 26, 2012"
"An inside look at Bhasan Char, Bangladesh's 'floating island' for Rohingya","ABC News' Bob Woodruff traveled with construction workers who are building structures on the low-lying, flood-prone island to house 100,000 Rohingya, but the plan has become controversial.","December 19, 2018"
20 Hostages Killing in Bangladesh Restaurant Standoff,"ISIS claims responsibly for the attack, though authorities are still investigating.","July 2, 2016"
FDA Cracks Down on Imported Spices,A recall is underway to pull a turmeric powder from shelves after it tested positive for lead.,"October 23, 2013"
Title not found,Paragraph not found,Date not found
Vision Spring Gets Glasses to Those in Need,Find out how this one organization has distributed over 2 million glasses.,"November 24, 2015"
New Islamic schools open doors to transgender women in Bangladesh,"Hijras in Bangladesh have a long and rich history in the region, but they now live on the fringes of society. These Islamic schools are a first step in making them feel like they belong.","December 11, 2020"
ISIS Claims Responsibility for Bangladesh Cafe Attack,Foreigners are being held hostage in an ongoing shooting and hostage situation at the cafe.,"July 1, 2016"
The 'floating island' where Bangladesh wants to send thousands of Rohingya refugees,"""Nightline"" visited a remote island where Bangladesh wants to house the masses escaping genocide in Myanmar -- but many Rohingya, now living in camps, don't want to relocate again.","December 20, 2018"
Woman Survives 17 Days in Bangladesh Factory Rubble,"The seamstress was trapped in the garment factory collapse that killed over 1,000 people.","May 10, 2013"
Title not found,Paragraph not found,Date not found
Where the plight of the Rohingya stands today,"More than 620,000 have fled Myanmar to Bangladesh in the last four months.","December 5, 2017"
Title not found,Paragraph not found,Date not found
Bangladesh police do yoga,"With more than 7,000 Bangladeshi police infected with the novel coronavirus, officials are hoping yoga will boost immunity and relieve stress for officers.","June 15, 2020"
Dozens killed by deadly Cyclone Amphan in India and Bangladesh,"The cyclone, carrying strong rain and winds of up to 118 mph, made landfall on Wednesday evening, leaving a ""trail of devastation"" in India's northeast.","May 21, 2020"
EMMY 5 BANGLADESH,Paragraph not found,"March 5, 2013"
State Department 'Outraged' by Murder of US Embassy Worker in Bangladesh,"State Dept. spokesperson condemns ""brutal murder"" of US Embassy worker in Bangladesh","April 25, 2016"
